FamilyID	wild_yak	takin	water_buffalo
fam1	50	12	2
fam2	21	23	16
fam3	4	19	36
fam4	2	25	31
fam5	16	25	16
fam6	13	24	16
fam7	3	25	24
fam8	13	21	17
fam9	2	25	25
fam10	7	25	17
fam11	2	25	22
fam12	16	16	16
fam13	14	20	13
fam14	7	17	22
fam15	12	18	15
fam16	18	25	2
fam17	2	24	17
fam18	7	19	15
fam19	4	17	19
fam20	9	16	15
fam21	2	28	10
fam22	7	22	11
fam23	12	20	7
fam24	2	25	13
fam25	8	17	13
fam26	12	15	10
fam27	5	19	13
fam28	2	17	18
fam29	10	14	13
fam30	2	23	12
fam31	2	21	15
fam32	7	7	23
fam33	2	18	17
fam34	13	12	11
fam35	5	25	6
fam36	2	16	17
fam37	2	16	18
fam38	6	17	12
fam39	2	10	23
fam40	10	11	13
fam41	2	17	16
fam42	2	21	12
fam43	11	11	12
fam44	2	17	15
fam45	2	19	11
fam46	9	11	12
fam47	2	13	18
fam48	5	14	13
fam49	2	15	14
fam50	9	15	7
fam51	9	12	10
fam52	7	14	10
fam53	8	14	9
fam54	2	15	15
fam55	7	16	8
fam56	4	17	10
fam57	11	10	9
fam58	7	12	11
fam59	5	12	13
fam60	17	5	8
fam61	2	19	10
fam62	9	20	2
fam63	2	13	16
fam64	4	14	12
fam65	5	9	16
fam66	2	17	12
fam67	7	11	11
fam68	6	10	13
fam69	2	15	13
fam70	2	19	9
fam71	3	16	10
fam72	7	10	12
fam73	9	10	9
fam74	7	11	10
fam75	6	14	8
fam76	2	20	7
fam77	7	20	2
fam78	8	19	2
fam79	2	15	12
fam80	4	10	14
fam81	6	13	9
fam82	10	5	12
fam83	5	13	9
fam84	2	13	13
fam85	9	10	8
fam86	2	17	9
fam87	2	17	9
fam88	3	11	13
fam89	2	3	23
fam90	9	10	8
fam91	24	2	2
fam92	5	11	10
fam93	11	9	6
fam94	3	12	11
fam95	4	10	12
fam96	3	13	10
fam97	2	12	13
fam98	2	14	11
fam99	2	14	11
fam100	2	11	14
fam101	2	10	15
fam102	2	16	9
fam103	7	18	2
fam104	3	12	11
fam105	3	14	9
fam106	3	15	8
fam107	5	16	5
fam108	6	11	9
fam109	9	9	7
fam110	9	8	8
fam111	3	11	11
fam112	4	11	10
fam113	9	6	10
fam114	3	10	12
fam115	3	16	6
fam116	2	9	15
fam117	2	7	17
fam118	2	17	6
fam119	2	17	7
fam120	2	17	7
fam121	2	14	10
fam122	6	9	10
fam123	2	13	11
fam124	5	11	9
fam125	7	11	7
fam126	8	10	7
fam127	2	10	14
fam128	2	15	9
fam129	8	9	7
fam130	5	9	10
fam131	7	8	9
fam132	3	8	13
fam133	2	10	13
fam134	13	5	6
fam135	4	14	6
fam136	2	6	17
fam137	5	13	6
fam138	3	18	3
fam139	3	17	4
fam140	4	8	12
fam141	2	13	10
fam142	2	11	12
fam143	2	11	12
fam144	7	8	8
fam145	9	5	9
fam146	2	11	11
